node_loss: 0.02315504662692547, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.6866
node_loss: 0.023358749225735664, edge_loss: 1.3866, edge_weight_loss: 0.8652, cosine_similarity: 0.6784
node_loss: 0.022439708933234215, edge_loss: 1.3865, edge_weight_loss: 0.8652, cosine_similarity: 0.6952
node_loss: 0.02161506377160549, edge_loss: 1.3866, edge_weight_loss: 0.8652, cosine_similarity: 0.6996
node_loss: 0.02180073969066143, edge_loss: 1.3865, edge_weight_loss: 0.8652, cosine_similarity: 0.7098
node_loss: 0.020041853189468384, edge_loss: 1.3864, edge_weight_loss: 0.8652, cosine_similarity: 0.7166
node_loss: 0.0218154639005661, edge_loss: 1.3864, edge_weight_loss: 0.8652, cosine_similarity: 0.7164
node_loss: 0.018255773931741714, edge_loss: 1.3864, edge_weight_loss: 0.8652, cosine_similarity: 0.7339
node_loss: 0.01979389414191246, edge_loss: 1.3865, edge_weight_loss: 0.8652, cosine_similarity: 0.7238
node_loss: 0.02175922878086567, edge_loss: 1.3864, edge_weight_loss: 0.8652, cosine_similarity: 0.7183
node_loss: 0.021207954734563828, edge_loss: 1.3865, edge_weight_loss: 0.8652, cosine_similarity: 0.7338
node_loss: 0.0172981396317482, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.7484
node_loss: 0.018220627680420876, edge_loss: 1.3865, edge_weight_loss: 0.8652, cosine_similarity: 0.7434
node_loss: 0.017997773364186287, edge_loss: 1.3865, edge_weight_loss: 0.8652, cosine_similarity: 0.7510
node_loss: 0.017378339543938637, edge_loss: 1.3864, edge_weight_loss: 0.8652, cosine_similarity: 0.7645
node_loss: 0.01940169744193554, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.7567
node_loss: 0.016947360709309578, edge_loss: 1.3864, edge_weight_loss: 0.8652, cosine_similarity: 0.7632
node_loss: 0.017270777374505997, edge_loss: 1.3862, edge_weight_loss: 0.8652, cosine_similarity: 0.7670
node_loss: 0.016019070520997047, edge_loss: 1.3861, edge_weight_loss: 0.8652, cosine_similarity: 0.7753
node_loss: 0.0160878486931324, edge_loss: 1.3860, edge_weight_loss: 0.8652, cosine_similarity: 0.7803
node_loss: 0.01610705256462097, edge_loss: 1.3864, edge_weight_loss: 0.8652, cosine_similarity: 0.7805
node_loss: 0.017096148803830147, edge_loss: 1.3859, edge_weight_loss: 0.8653, cosine_similarity: 0.7846
node_loss: 0.01710348203778267, edge_loss: 1.3862, edge_weight_loss: 0.8652, cosine_similarity: 0.7846
node_loss: 0.014426246285438538, edge_loss: 1.3865, edge_weight_loss: 0.8652, cosine_similarity: 0.7991
node_loss: 0.01477717887610197, edge_loss: 1.3865, edge_weight_loss: 0.8652, cosine_similarity: 0.7924
node_loss: 0.015716908499598503, edge_loss: 1.3864, edge_weight_loss: 0.8652, cosine_similarity: 0.7849
node_loss: 0.016061576083302498, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.7935
